question,category,relevance,faithfulness,fluency
Qual è il genere di gioco di Valkyria: Azure Revolution se non è un gioco di azione?,Adversarial,0.9,1.0,0.9
Quale console è stata utilizzata per lo sviluppo di Senjō no Valkyria 3: Unrecorded Chronicles?,Fine-grained Factual,0.9,1.0,1.0
Qual è il motore grafico utilizzato in Valkyria Chronicles III?,General Knowledge,0.6,1.0,0.9
Quale organizzazione ha contribuito al rinnovamento del Tower Building insieme all'Æsthetic Club e a Frederick W. Allsop?,Fine-grained Factual,0.6,0.9,0.8
L'edificio della Torre dell'Arsenale di Little Rock è stato utilizzato esclusivamente come museo?,Adversarial,0.9,1.0,1.0
Quando il governo federale iniziò a chiudere molti arsenali piccoli in tutto il paese?,General Knowledge,0.6,0.8,0.9
Perché lo sviluppo di Valkyria Chronicles III non è stato effettuato per la piattaforma PlayStation 3?,Adversarial,0.6,0.8,0.9
Quanti veterani della guerra civile hanno partecipato alla riunione nella Tower Building nel 1911?,Fine-grained Factual,0.6,0.8,0.9
Qual è il rapporto tra l'edificio della Torre dell'Arsenale di Little Rock e il Little Rock Æsthetic Club?,Relation-centric,0.9,1.0,1.0
Qual è il rapporto tra il MacArthur Museum of Arkansas Military History e Douglas MacArthur?,Relation-centric,0.8,0.6,0.9
Qual è la relazione tra la Tower Building e la biblioteca pubblica di Little Rock?,Relation-centric,0.6,0.9,0.8
Quanti uomini erano presenti nella compagnia del Secondo Reggimento di Artiglieria degli Stati Uniti trasferita a Little Rock?,Fine-grained Factual,0.8,1.0,0.9
In quale contesto temporale si svolge il gioco?,General Knowledge,0.6,0.8,0.9
Qual è la ragione per cui il Little Rock Arsenal non è più utilizzato come arsenale?,Adversarial,0.8,0.9,0.9
Dove nacque il generale Douglas MacArthur?,General Knowledge,0.8,0.2,0.9
Perché Richard Eisenbeis ha espresso rammarico per il gioco?,Adversarial,0.2,0.9,0.8
"Perché Valkyria Chronicles III non è stato localizzato, sebbene abbia avuto un'edizione espansa?",Adversarial,0.9,0.9,1.0
Quanti soldati federali erano rimasti nell'arsenale quando la milizia cittadina arrivò?,Fine-grained Factual,0.9,0.9,1.0
Qual era il nome della nave da guerra comandata da Lt. Dunnington prima di essere assegnato all'ordnance di Little Rock?,Fine-grained Factual,0.8,1.0,0.9
Chi è il vero traditore all'interno dell'esercito di Gallia?,Adversarial,0.4,0.8,0.9
Quale evento storico si stava profilando all'orizzonte nel novembre 1860?,General Knowledge,0.8,0.6,0.9
In quanti gruppi sono divise le truppe?,General Knowledge,0.9,1.0,1.0
"In quale volume e capitolo si trovano i 'Returns for the month of August, 1862' di Lt. Col. Dunnington?",Fine-grained Factual,1.0,1.0,1.0
Perché il periodo di disponibilità dell'anime di Valkyria Chronicles 3 è stato esteso?,Adversarial,0.9,1.0,1.0
Chi ha richiesto la costruzione dell'arsenale?,General Knowledge,0.9,1.0,0.9
Quale evento scatenò la decisione di non rilasciare Valkyria Chronicles III in Occidente?,Fine-grained Factual,0.8,1.0,0.9
Quanti personaggi possono essere assegnati a una singola missione?,Fine-grained Factual,0.6,0.9,0.8
Chi era il comandante dell'Arsenale di Little Rock prima di novembre 1862?,General Knowledge,0.9,1.0,0.9
Come è stato descritto il sentimento generale di Naohiko Misuosame nei confronti di Valkyria Chronicles III?,Relation-centric,0.2,1.0,0.9
Chi ha diretto l'anime di Valkyria Chronicles 3?,Relation-centric,1.0,1.0,1.0
Quanti ufficiali e uomini arruolati erano presenti nella forza militare a Little Rock in totale?,Adversarial,0.2,1.0,0.9
Quale evento si è svolto nella Tower Building dal 15 al 18 maggio 1911?,General Knowledge,0.2,1.0,0.9
Qual è il significato del motto della Squad 422 'Altaha Abilia'?,Fine-grained Factual,0.9,1.0,0.9
Qual era il calibro delle armi più utilizzate?,Fine-grained Factual,0.9,1.0,0.9
"Qual è il nome della chiesa per la quale Barker ha progettato una vetrata colorata, se non fosse St. Edmund's Church?",Adversarial,1.0,1.0,1.0
Quando Rector e Totten firmarono l'accordo per la consegna dell'arsenale alle autorità statali?,General Knowledge,1.0,1.0,1.0
Quanto era il budget iniziale per la costruzione dell'arsenale?,Fine-grained Factual,0.9,1.0,1.0
Chi ha progettato i personaggi in Valkyria Chronicles III?,Fine-grained Factual,0.8,0.2,0.9
Chi ha supervisionato la costruzione dell'arsenale?,Relation-centric,0.9,0.9,1.0
Qual è il legame tra il Little Rock Arsenal e la Seconda Guerra Mondiale?,Relation-centric,0.2,0.1,0.8
Quante copie di Valkyria Chronicles III sono state vendute in Giappone entro la fine dell'anno di rilascio?,Fine-grained Factual,0.6,1.0,0.9
Su quale piattaforma è stato rilasciato il gioco Valkyria: Azure Revolution?,General Knowledge,0.2,0.9,0.8
Qual è la caratteristica distintiva dell'edificio che prende il nome dalla sua torre?,Fine-grained Factual,0.9,0.9,1.0
Perché Totten era rimasto nell'arsenale nonostante la partenza dei soldati federali?,Adversarial,0.9,0.8,0.9
In quale anno il building fu rinominato Little Rock Barracks?,General Knowledge,1.0,1.0,1.0
Qual è il rapporto tra il gioco e le due protagoniste femminili?,Relation-centric,0.8,0.9,0.9
In quale mese e anno è stata rilasciata l'edizione espansa del gioco?,Fine-grained Factual,0.9,1.0,1.0
Dove si trova il Kubinka Tank Museum?,Fine-grained Factual,0.8,1.0,0.9
Chi ha illustrato il manga 'Senjō no Valkyria 3: Namo naki Chikai no Hana'?,Fine-grained Factual,1.0,1.0,1.0
Come possono cambiare classe i soldati?,Fine-grained Factual,0.9,1.0,1.0
Perché non è possibile stabilire l'accountability dell'equipaggiamento dell'arsenale di Little Rock dopo il 1862?,Adversarial,0.8,0.9,0.9
Dove erano ubicati la maggior parte degli impianti di produzione?,General Knowledge,0.9,0.9,1.0
Quante cartucce di buck & ball shot sono state prodotte nel mese di agosto 1862?,Fine-grained Factual,0.9,1.0,0.9
Chi era il superiore di Lt. Dunnington che lo assegnò a capo dell'ordnance di Little Rock?,Relation-centric,0.8,1.0,0.9
Quale era la condizione per la cessione del terreno e degli edifici alla città di Little Rock?,Fine-grained Factual,0.8,0.9,0.9
In quale regione non è stato rilasciato Valkyria Chronicles III?,General Knowledge,0.9,1.0,1.0
Qual è il rapporto tra Dahau e il benefattore che ha mantenuto segreta l'esistenza del super-arma Valkyrian?,Relation-centric,0.9,0.9,1.0
Qual era la classificazione del Little Rock Arsenal nel 1860?,General Knowledge,0.9,0.8,0.9
Chi ha fornito supporto finanziario al Tower Building durante la Grande Depressione?,Relation-centric,0.9,1.0,1.0
Chi aveva rimosso la macchina per la produzione di armi da fuoco?,Relation-centric,0.9,1.0,0.9
Chi ha acquistato il dipinto di Barker intitolato 'The Darling of the World Has Come'?,Relation-centric,0.2,1.0,0.9
Dove venne spostata la maggior parte dell'equipaggiamento dell'arsenale di Little Rock nel 1862?,General Knowledge,0.9,1.0,1.0
Cosa non fece Hindman per il distretto dell'Arkansas?,Adversarial,0.2,0.9,0.8
Chi era il comandante della compagnia del Secondo Reggimento di Artiglieria degli Stati Uniti trasferita a Little Rock?,Relation-centric,0.6,0.9,0.8
Perché il governatore Henry Massey Rector informò il capitano Totten che lui e i suoi soldati sarebbero stati 'permessi di rimanere in possesso degli ufficiali federali'?,Adversarial,0.6,0.4,0.8
Qual è la ragione per cui la band shell intitolata a H. H. Foster non esiste più nel parco?,Adversarial,0.2,1.0,0.9
